#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.65e+01    4.10e+01      3.10e-01    4.12e-01      1.16e+00    1.30e+00    1.0e-03
    100      1.62e+01    1.57e+01      1.78e-02    2.43e-02      5.13e-01    4.95e-01    1.0e-03
    200      1.02e+01    9.30e+00      1.76e-01    1.75e-01      3.23e-01    2.94e-01    1.0e-03
    300      8.42e+00    7.32e+00      1.10e-01    1.23e-01      2.66e-01    2.31e-01    1.0e-03
    400      7.07e+00    6.94e+00      2.27e-01    2.32e-01      2.23e-01    2.19e-01    1.0e-03
    500      6.71e+00    5.87e+00      6.94e-02    6.38e-02      2.12e-01    1.86e-01    1.0e-03
    600      5.93e+00    6.49e+00      9.19e-02    9.12e-02      1.88e-01    2.05e-01    1.0e-03
    700      6.27e+00    6.30e+00      2.80e-02    2.88e-02      1.98e-01    1.99e-01    1.0e-03
    800      5.20e+00    4.89e+00      4.18e-02    4.13e-02      1.64e-01    1.55e-01    1.0e-03
    900      5.55e+00    5.78e+00      1.83e-01    1.80e-01      1.75e-01    1.83e-01    1.0e-03
   1000      5.58e+00    5.36e+00      6.64e-02    6.93e-02      1.76e-01    1.70e-01    1.0e-03
   1100      5.21e+00    4.81e+00      2.38e-01    2.41e-01      1.64e-01    1.51e-01    1.0e-03
   1200      5.50e+00    4.85e+00      7.76e-02    7.56e-02      1.74e-01    1.53e-01    1.0e-03
   1300      5.16e+00    4.57e+00      1.47e-01    1.45e-01      1.63e-01    1.44e-01    1.0e-03
   1400      4.83e+00    4.57e+00      7.56e-02    7.71e-02      1.53e-01    1.44e-01    1.0e-03
   1500      5.31e+00    4.93e+00      2.04e-02    2.00e-02      1.68e-01    1.56e-01    1.0e-03
   1600      4.83e+00    4.40e+00      1.38e-01    1.38e-01      1.53e-01    1.39e-01    1.0e-03
   1700      4.75e+00    4.82e+00      3.16e-02    3.25e-02      1.50e-01    1.52e-01    1.0e-03
   1800      4.79e+00    4.34e+00      4.27e-02    4.53e-02      1.51e-01    1.37e-01    1.0e-03
   1900      4.33e+00    4.71e+00      1.43e-01    1.43e-01      1.36e-01    1.49e-01    1.0e-03
   2000      4.21e+00    4.70e+00      6.99e-02    6.78e-02      1.33e-01    1.49e-01    1.0e-03
   2100      4.86e+00    4.48e+00      9.61e-02    9.39e-02      1.54e-01    1.42e-01    1.0e-03
   2200      4.49e+00    5.01e+00      6.12e-02    5.80e-02      1.42e-01    1.58e-01    1.0e-03
   2300      4.62e+00    4.46e+00      8.16e-02    8.27e-02      1.46e-01    1.41e-01    1.0e-03
   2400      4.59e+00    4.53e+00      5.25e-02    5.46e-02      1.45e-01    1.43e-01    1.0e-03
   2500      4.77e+00    4.61e+00      3.08e-02    3.14e-02      1.51e-01    1.46e-01    1.0e-03
   2600      4.15e+00    4.12e+00      2.29e-02    2.34e-02      1.31e-01    1.30e-01    1.0e-03
   2700      4.41e+00    5.19e+00      1.61e-01    1.63e-01      1.39e-01    1.64e-01    1.0e-03
   2800      4.65e+00    4.72e+00      3.41e-02    3.49e-02      1.47e-01    1.49e-01    1.0e-03
   2900      4.92e+00    4.82e+00      1.87e-03    1.47e-03      1.56e-01    1.52e-01    1.0e-03
   3000      4.17e+00    3.78e+00      4.46e-02    4.54e-02      1.32e-01    1.20e-01    1.0e-03
   3100      4.44e+00    3.80e+00      5.07e-02    5.15e-02      1.40e-01    1.20e-01    1.0e-03
   3200      4.10e+00    4.75e+00      8.79e-02    9.03e-02      1.29e-01    1.50e-01    1.0e-03
   3300      3.89e+00    4.48e+00      5.36e-02    5.34e-02      1.23e-01    1.42e-01    1.0e-03
   3400      4.13e+00    4.16e+00      6.43e-02    6.72e-02      1.31e-01    1.31e-01    1.0e-03
   3500      3.88e+00    4.17e+00      4.04e-02    4.00e-02      1.23e-01    1.32e-01    1.0e-03
   3600      3.69e+00    3.82e+00      7.07e-03    4.74e-03      1.17e-01    1.21e-01    1.0e-03
   3700      3.90e+00    3.87e+00      1.21e-02    9.68e-03      1.23e-01    1.22e-01    1.0e-03
   3800      3.95e+00    3.71e+00      9.65e-02    9.47e-02      1.25e-01    1.17e-01    1.0e-03
   3900      4.47e+00    4.33e+00      5.14e-02    5.46e-02      1.41e-01    1.37e-01    1.0e-03
   4000      3.97e+00    3.90e+00      3.36e-03    3.36e-03      1.26e-01    1.23e-01    1.0e-03
   4100      3.80e+00    4.99e+00      1.98e-02    1.73e-02      1.20e-01    1.58e-01    1.0e-03
   4200      4.34e+00    4.24e+00      3.09e-02    3.08e-02      1.37e-01    1.34e-01    1.0e-03
   4300      3.62e+00    3.78e+00      1.34e-02    1.29e-02      1.14e-01    1.19e-01    1.0e-03
   4400      4.29e+00    3.88e+00      2.09e-02    2.03e-02      1.36e-01    1.23e-01    1.0e-03
   4500      3.78e+00    3.69e+00      2.71e-02    2.71e-02      1.20e-01    1.17e-01    1.0e-03
   4600      3.93e+00    3.11e+00      7.93e-02    7.92e-02      1.24e-01    9.81e-02    1.0e-03
   4700      3.47e+00    3.54e+00      1.98e-02    1.85e-02      1.10e-01    1.12e-01    1.0e-03
   4800      3.93e+00    4.05e+00      1.59e-01    1.61e-01      1.24e-01    1.28e-01    1.0e-03
   4900      3.87e+00    4.00e+00      8.89e-02    8.70e-02      1.22e-01    1.26e-01    1.0e-03
   5000      3.45e+00    3.58e+00      7.79e-02    8.07e-02      1.12e-01    1.16e-01    9.5e-04
   5100      3.74e+00    3.40e+00      2.46e-02    2.46e-02      1.21e-01    1.10e-01    9.5e-04
   5200      3.82e+00    3.38e+00      2.96e-02    3.03e-02      1.24e-01    1.09e-01    9.5e-04
   5300      3.64e+00    3.60e+00      1.49e-02    1.52e-02      1.18e-01    1.17e-01    9.5e-04
   5400      3.47e+00    3.34e+00      4.08e-02    3.90e-02      1.13e-01    1.08e-01    9.5e-04
   5500      3.91e+00    3.66e+00      1.71e-02    1.90e-02      1.27e-01    1.19e-01    9.5e-04
   5600      3.46e+00    3.19e+00      5.84e-02    5.52e-02      1.12e-01    1.03e-01    9.5e-04
   5700      3.30e+00    3.02e+00      6.50e-02    6.58e-02      1.07e-01    9.76e-02    9.5e-04
   5800      3.72e+00    3.37e+00      1.65e-03    2.64e-03      1.21e-01    1.09e-01    9.5e-04
   5900      3.32e+00    3.43e+00      5.50e-02    5.41e-02      1.07e-01    1.11e-01    9.5e-04
   6000      3.67e+00    3.17e+00      5.18e-02    5.40e-02      1.19e-01    1.03e-01    9.5e-04
   6100      3.74e+00    3.70e+00      8.92e-02    8.79e-02      1.21e-01    1.20e-01    9.5e-04
   6200      3.35e+00    3.22e+00      7.30e-02    7.33e-02      1.08e-01    1.04e-01    9.5e-04
   6300      3.27e+00    3.34e+00      5.14e-03    3.95e-03      1.06e-01    1.08e-01    9.5e-04
   6400      3.24e+00    3.26e+00      6.82e-02    6.71e-02      1.05e-01    1.05e-01    9.5e-04
   6500      3.10e+00    3.31e+00      1.04e-03    1.17e-03      1.01e-01    1.07e-01    9.5e-04
   6600      3.23e+00    3.23e+00      8.21e-03    6.15e-03      1.05e-01    1.05e-01    9.5e-04
   6700      3.22e+00    3.02e+00      3.62e-02    3.46e-02      1.04e-01    9.78e-02    9.5e-04
   6800      3.33e+00    3.34e+00      1.08e-01    1.09e-01      1.07e-01    1.08e-01    9.5e-04
   6900      3.13e+00    2.85e+00      3.81e-02    3.79e-02      1.01e-01    9.24e-02    9.5e-04
   7000      3.65e+00    3.11e+00      9.47e-02    9.33e-02      1.18e-01    1.00e-01    9.5e-04
   7100      3.47e+00    3.20e+00      6.88e-02    7.04e-02      1.12e-01    1.04e-01    9.5e-04
   7200      3.64e+00    3.49e+00      1.35e-01    1.36e-01      1.17e-01    1.12e-01    9.5e-04
   7300      3.38e+00    3.18e+00      6.11e-02    6.10e-02      1.09e-01    1.03e-01    9.5e-04
   7400      3.46e+00    3.29e+00      1.55e-03    1.79e-03      1.12e-01    1.07e-01    9.5e-04
   7500      3.23e+00    3.20e+00      4.69e-02    4.79e-02      1.05e-01    1.04e-01    9.5e-04
   7600      3.47e+00    2.97e+00      1.32e-02    1.40e-02      1.13e-01    9.62e-02    9.5e-04
   7700      3.55e+00    3.12e+00      2.73e-02    2.48e-02      1.15e-01    1.01e-01    9.5e-04
   7800      3.20e+00    3.25e+00      6.49e-02    6.68e-02      1.04e-01    1.05e-01    9.5e-04
   7900      3.23e+00    3.20e+00      2.84e-02    2.69e-02      1.05e-01    1.04e-01    9.5e-04
   8000      3.16e+00    3.33e+00      7.74e-02    8.02e-02      1.02e-01    1.08e-01    9.5e-04
   8100      3.33e+00    3.26e+00      2.25e-02    2.19e-02      1.08e-01    1.06e-01    9.5e-04
   8200      3.22e+00    3.18e+00      2.00e-02    1.89e-02      1.05e-01    1.03e-01    9.5e-04
   8300      3.22e+00    3.16e+00      8.78e-02    8.66e-02      1.04e-01    1.02e-01    9.5e-04
   8400      3.04e+00    3.12e+00      5.01e-02    4.98e-02      9.86e-02    1.01e-01    9.5e-04
   8500      3.04e+00    3.06e+00      5.71e-02    5.96e-02      9.84e-02    9.91e-02    9.5e-04
   8600      3.27e+00    3.21e+00      3.16e-03    3.70e-03      1.06e-01    1.04e-01    9.5e-04
   8700      3.25e+00    3.12e+00      2.27e-02    2.18e-02      1.06e-01    1.01e-01    9.5e-04
   8800      3.08e+00    2.79e+00      1.06e-02    9.22e-03      9.98e-02    9.06e-02    9.5e-04
   8900      3.08e+00    3.09e+00      1.70e-02    1.82e-02      9.99e-02    1.00e-01    9.5e-04
   9000      3.18e+00    3.29e+00      3.74e-02    3.75e-02      1.03e-01    1.07e-01    9.5e-04
   9100      3.59e+00    3.32e+00      7.31e-03    8.00e-03      1.17e-01    1.08e-01    9.5e-04
   9200      3.49e+00    3.27e+00      3.34e-02    3.30e-02      1.13e-01    1.06e-01    9.5e-04
   9300      3.86e+00    3.88e+00      1.58e-02    1.37e-02      1.25e-01    1.26e-01    9.5e-04
   9400      2.95e+00    3.24e+00      5.15e-02    5.43e-02      9.54e-02    1.05e-01    9.5e-04
   9500      3.17e+00    3.14e+00      1.20e-02    1.16e-02      1.03e-01    1.02e-01    9.5e-04
   9600      2.99e+00    2.94e+00      4.08e-02    4.00e-02      9.67e-02    9.54e-02    9.5e-04
   9700      3.48e+00    3.12e+00      1.71e-02    1.75e-02      1.13e-01    1.01e-01    9.5e-04
   9800      3.17e+00    3.16e+00      6.81e-02    6.83e-02      1.02e-01    1.02e-01    9.5e-04
   9900      3.04e+00    3.20e+00      2.05e-02    2.26e-02      9.86e-02    1.04e-01    9.5e-04
  10000      3.16e+00    2.97e+00      3.18e-02    3.24e-02      1.05e-01    9.87e-02    9.0e-04
  10100      3.10e+00    2.64e+00      5.32e-02    5.40e-02      1.03e-01    8.75e-02    9.0e-04
  10200      3.13e+00    2.83e+00      3.29e-02    3.16e-02      1.04e-01    9.41e-02    9.0e-04
  10300      2.93e+00    2.73e+00      1.58e-02    1.44e-02      9.74e-02    9.07e-02    9.0e-04
  10400      2.96e+00    2.90e+00      4.37e-02    4.48e-02      9.81e-02    9.62e-02    9.0e-04
  10500      2.78e+00    2.83e+00      4.00e-03    3.78e-03      9.26e-02    9.43e-02    9.0e-04
  10600      2.85e+00    2.93e+00      2.98e-02    2.90e-02      9.47e-02    9.73e-02    9.0e-04
  10700      2.70e+00    2.90e+00      3.13e-02    3.18e-02      8.99e-02    9.66e-02    9.0e-04
  10800      3.04e+00    2.88e+00      6.30e-03    6.41e-03      1.01e-01    9.57e-02    9.0e-04
  10900      2.77e+00    2.84e+00      9.48e-04    3.62e-05      9.22e-02    9.46e-02    9.0e-04
  11000      2.98e+00    2.97e+00      4.63e-02    4.80e-02      9.88e-02    9.85e-02    9.0e-04
  11100      2.95e+00    2.99e+00      2.26e-02    2.39e-02      9.81e-02    9.96e-02    9.0e-04
  11200      3.24e+00    2.99e+00      4.03e-02    3.85e-02      1.07e-01    9.93e-02    9.0e-04
  11300      2.85e+00    2.64e+00      1.14e-02    1.14e-02      9.49e-02    8.79e-02    9.0e-04
  11400      2.94e+00    2.60e+00      1.43e-02    1.39e-02      9.78e-02    8.66e-02    9.0e-04
  11500      2.97e+00    3.00e+00      1.91e-02    1.71e-02      9.89e-02    9.99e-02    9.0e-04
  11600      3.05e+00    3.01e+00      1.02e-02    1.15e-02      1.01e-01    1.00e-01    9.0e-04
  11700      3.30e+00    3.11e+00      2.29e-03    3.24e-03      1.10e-01    1.03e-01    9.0e-04
  11800      2.72e+00    2.99e+00      3.01e-02    2.86e-02      9.06e-02    9.93e-02    9.0e-04
  11900      3.02e+00    3.09e+00      3.45e-02    3.19e-02      1.00e-01    1.03e-01    9.0e-04
  12000      2.94e+00    2.74e+00      1.07e-02    1.01e-02      9.80e-02    9.11e-02    9.0e-04
  12100      3.28e+00    2.87e+00      3.72e-02    3.73e-02      1.09e-01    9.53e-02    9.0e-04
  12200      2.89e+00    2.78e+00      3.09e-02    3.21e-02      9.62e-02    9.23e-02    9.0e-04
  12300      2.70e+00    3.25e+00      2.69e-02    2.67e-02      8.97e-02    1.08e-01    9.0e-04
  12400      2.99e+00    3.02e+00      8.90e-02    8.77e-02      9.86e-02    9.97e-02    9.0e-04
  12500      2.89e+00    2.88e+00      1.27e-02    1.40e-02      9.62e-02    9.60e-02    9.0e-04
  12600      2.94e+00    2.58e+00      3.99e-02    3.88e-02      9.78e-02    8.58e-02    9.0e-04
  12700      3.13e+00    2.80e+00      4.02e-02    4.11e-02      1.04e-01    9.30e-02    9.0e-04
  12800      2.99e+00    2.63e+00      4.15e-02    4.14e-02      9.95e-02    8.73e-02    9.0e-04
  12900      2.88e+00    2.75e+00      4.38e-02    4.29e-02      9.58e-02    9.11e-02    9.0e-04
  13000      3.09e+00    3.02e+00      1.22e-03    5.62e-06      1.03e-01    1.01e-01    9.0e-04
  13100      3.02e+00    2.68e+00      2.87e-02    2.91e-02      1.00e-01    8.90e-02    9.0e-04
  13200      2.86e+00    3.00e+00      4.85e-02    4.74e-02      9.50e-02    9.97e-02    9.0e-04
  13300      2.81e+00    2.48e+00      3.54e-02    3.45e-02      9.33e-02    8.24e-02    9.0e-04
  13400      2.91e+00    2.34e+00      1.43e-02    1.74e-02      9.69e-02    7.77e-02    9.0e-04
  13500      2.90e+00    2.71e+00      4.70e-02    4.95e-02      9.61e-02    9.00e-02    9.0e-04
  13600      2.82e+00    2.41e+00      1.05e-03    3.49e-03      9.40e-02    8.03e-02    9.0e-04
  13700      2.71e+00    2.64e+00      2.46e-02    2.48e-02      9.00e-02    8.77e-02    9.0e-04
  13800      2.61e+00    2.65e+00      3.49e-02    3.52e-02      8.68e-02    8.79e-02    9.0e-04
  13900      3.12e+00    2.69e+00      5.51e-02    5.31e-02      1.04e-01    8.93e-02    9.0e-04
  14000      2.88e+00    2.90e+00      3.02e-02    3.07e-02      9.58e-02    9.64e-02    9.0e-04
  14100      2.84e+00    2.93e+00      4.61e-02    4.72e-02      9.43e-02    9.73e-02    9.0e-04
  14200      2.81e+00    2.82e+00      7.95e-03    9.32e-03      9.35e-02    9.40e-02    9.0e-04
  14300      2.98e+00    2.90e+00      1.38e-02    1.29e-02      9.90e-02    9.65e-02    9.0e-04
  14400      3.17e+00    2.67e+00      2.98e-02    2.86e-02      1.05e-01    8.88e-02    9.0e-04
  14500      2.73e+00    2.52e+00      3.70e-02    3.80e-02      9.05e-02    8.36e-02    9.0e-04
  14600      2.87e+00    2.71e+00      1.53e-02    1.76e-02      9.54e-02    9.00e-02    9.0e-04
  14700      2.92e+00    3.17e+00      5.63e-02    5.55e-02      9.67e-02    1.05e-01    9.0e-04
  14800      2.95e+00    2.79e+00      3.03e-02    3.06e-02      9.82e-02    9.29e-02    9.0e-04
  14900      2.80e+00    2.55e+00      1.10e-02    1.22e-02      9.31e-02    8.49e-02    9.0e-04
  15000      2.82e+00    2.77e+00      7.47e-04    1.35e-03      9.62e-02    9.44e-02    8.6e-04
  15100      2.74e+00    2.43e+00      1.84e-02    1.86e-02      9.36e-02    8.30e-02    8.6e-04
  15200      2.87e+00    2.39e+00      4.28e-04    1.02e-03      9.80e-02    8.17e-02    8.6e-04
  15300      2.87e+00    2.81e+00      1.22e-02    1.35e-02      9.81e-02    9.58e-02    8.6e-04
  15400      2.65e+00    3.01e+00      9.97e-03    1.04e-02      9.06e-02    1.03e-01    8.6e-04
  15500      2.67e+00    2.68e+00      5.42e-04    1.07e-03      9.12e-02    9.16e-02    8.6e-04
  15600      3.05e+00    2.94e+00      1.50e-02    1.34e-02      1.04e-01    1.00e-01    8.6e-04
  15700      2.60e+00    2.48e+00      3.41e-02    3.49e-02      8.84e-02    8.44e-02    8.6e-04
  15800      2.70e+00    2.60e+00      1.14e-02    1.27e-02      9.21e-02    8.86e-02    8.6e-04
  15900      2.71e+00    2.95e+00      2.37e-03    3.18e-03      9.24e-02    1.01e-01    8.6e-04
