# Time-averaged data for fix mscdwrite
# TimeStep Number-of-rows
# Row c_mscd
10 4
1 0.000668962
2 0.000644487
3 0.000712755
4 0.0020262
20 4
1 0.00557351
2 0.00553288
3 0.00623704
4 0.0173434
30 4
1 0.0119967
2 0.0118849
3 0.0128316
4 0.0367132
40 4
1 0.0175859
2 0.017566
3 0.017518
4 0.0526699
50 4
1 0.0223391
2 0.0229947
3 0.0223346
4 0.0676685
60 4
1 0.0267236
2 0.0271024
3 0.0270541
4 0.0808801
70 4
1 0.0327568
2 0.0307279
3 0.0315982
4 0.0950829
80 4
1 0.0383518
2 0.0352602
3 0.0363403
4 0.109952
90 4
1 0.0407256
2 0.0395635
3 0.0399435
4 0.120233
100 4
1 0.0411597
2 0.0424718
3 0.0406736
4 0.124305
110 4
1 0.0420583
2 0.0435505
3 0.0396053
4 0.125214
120 4
1 0.042672
2 0.0423517
3 0.0394061
4 0.12443
130 4
1 0.0424979
2 0.0408047
3 0.0401767
4 0.123479
140 4
1 0.0423267
2 0.0401874
3 0.0409935
4 0.123508
150 4
1 0.043868
2 0.0415573
3 0.0407768
4 0.126202
160 4
1 0.0464815
2 0.043792
3 0.0406165
4 0.13089
170 4
1 0.047896
2 0.0444698
3 0.0422676
4 0.134633
180 4
1 0.0496122
2 0.0452281
3 0.0443902
4 0.13923
190 4
1 0.0514191
2 0.0468676
3 0.0453031
4 0.14359
200 4
1 0.0521745
2 0.0478539
3 0.0464591
4 0.146488
210 4
1 0.0524227
2 0.0482138
3 0.049273
4 0.149909
220 4
1 0.0512386
2 0.0496317
3 0.0519871
4 0.152857
230 4
1 0.0499876
2 0.0518677
3 0.0529523
4 0.154808
240 4
1 0.051604
2 0.0527819
3 0.0529121
4 0.157298
250 4
1 0.0544846
2 0.0525971
3 0.0525467
4 0.159628
260 4
1 0.0551856
2 0.0536258
3 0.0517841
4 0.160595
270 4
1 0.0541544
2 0.0552311
3 0.0518957
4 0.161281
280 4
1 0.0545034
2 0.0559865
3 0.0526713
4 0.163161
290 4
1 0.0561066
2 0.0551173
3 0.0528281
4 0.164052
300 4
1 0.0569318
2 0.053205
3 0.0531408
4 0.163278
310 4
1 0.0568268
2 0.0519619
3 0.0531235
4 0.161912
320 4
1 0.056747
2 0.0513363
3 0.0518256
4 0.159909
330 4
1 0.0560682
2 0.050525
3 0.0497801
4 0.156373
340 4
1 0.0544979
2 0.0489262
3 0.0483771
4 0.151801
350 4
1 0.0539993
2 0.047269
3 0.0473075
4 0.148576
360 4
1 0.0550188
2 0.046481
3 0.047329
4 0.148829
370 4
1 0.0558306
2 0.0465003
3 0.0493092
4 0.15164
380 4
1 0.0556151
2 0.0475499
3 0.0516197
4 0.154785
390 4
1 0.0551777
2 0.0500841
3 0.0526574
4 0.157919
400 4
1 0.0553008
2 0.0525017
3 0.0526496
4 0.160452
410 4
1 0.0558034
2 0.0535998
3 0.051597
4 0.161
420 4
1 0.0553187
2 0.0541046
3 0.0504205
4 0.159844
430 4
1 0.054662
2 0.0541658
3 0.0499149
4 0.158743
440 4
1 0.0542079
2 0.0542687
3 0.0497789
4 0.158255
450 4
1 0.054106
2 0.0544496
3 0.0498484
4 0.158404
460 4
1 0.0536275
2 0.0537712
3 0.0505138
4 0.157912
470 4
1 0.0521969
2 0.0525048
3 0.0512362
4 0.155938
480 4
1 0.0512126
2 0.0521579
3 0.0517775
4 0.155148
490 4
1 0.0514683
2 0.0535224
3 0.0526603
4 0.157651
500 4
1 0.0524223
2 0.0542871
3 0.0539785
4 0.160688
510 4
1 0.0537531
2 0.0554108
3 0.0548679
4 0.164032
520 4
1 0.0555292
2 0.0578448
3 0.055063
4 0.168437
530 4
1 0.056774
2 0.0592449
3 0.0566205
4 0.172639
540 4
1 0.0575159
2 0.0596574
3 0.0597287
4 0.176902
550 4
1 0.0585888
2 0.0600926
3 0.0620385
4 0.18072
560 4
1 0.0598846
2 0.0606813
3 0.0621292
4 0.182695
570 4
1 0.0615547
2 0.0608272
3 0.0607872
4 0.183169
580 4
1 0.0637164
2 0.0601015
3 0.0594712
4 0.183289
590 4
1 0.0649468
2 0.0598598
3 0.0590713
4 0.183878
600 4
1 0.0645517
2 0.0596993
3 0.0591648
4 0.183416
610 4
1 0.0638378
2 0.0586647
3 0.0601529
4 0.182655
620 4
1 0.0642678
2 0.0581942
3 0.060726
4 0.183188
630 4
1 0.0650636
2 0.0577856
3 0.0602777
4 0.183127
640 4
1 0.0640911
2 0.0570876
3 0.0594677
4 0.180646
650 4
1 0.0622389
2 0.0566834
3 0.0588458
4 0.177768
660 4
1 0.0603733
2 0.0570206
3 0.0595016
4 0.176896
670 4
1 0.0608509
2 0.0574122
3 0.0606104
4 0.178873
680 4
1 0.0639583
2 0.057598
3 0.0612576
4 0.182814
690 4
1 0.0657473
2 0.0572079
3 0.0616014
4 0.184557
700 4
1 0.0651493
2 0.0565709
3 0.0604365
4 0.182157
710 4
1 0.0639189
2 0.0562983
3 0.05855
4 0.178767
720 4
1 0.0625809
2 0.0567519
3 0.056936
4 0.176269
730 4
1 0.0614574
2 0.0582647
3 0.0563875
4 0.17611
740 4
1 0.061806
2 0.0603533
3 0.0566085
4 0.178768
750 4
1 0.062729
2 0.0629691
3 0.0562844
4 0.181982
760 4
1 0.0635366
2 0.064963
3 0.0555822
4 0.184082
770 4
1 0.0639401
2 0.0649681
3 0.0567065
4 0.185615
780 4
1 0.0645024
2 0.063649
