# Time-averaged data for fix msdwrite
# TimeStep Number-of-rows
# Row c_msd
10 4
1 0.00288838
2 0.00286427
3 0.0029228
4 0.00867545
20 4
1 0.0204357
2 0.0204394
3 0.0217415
4 0.0626166
30 4
1 0.044977
2 0.0450524
3 0.0496107
4 0.13964
40 4
1 0.0648127
2 0.0640968
3 0.0719708
4 0.20088
50 4
1 0.0800627
2 0.0782849
3 0.088637
4 0.246985
60 4
1 0.0916419
2 0.0891584
3 0.101322
4 0.282123
70 4
1 0.102372
2 0.0995494
3 0.112414
4 0.314335
80 4
1 0.112838
2 0.111725
3 0.121401
4 0.345964
90 4
1 0.123329
2 0.122313
3 0.128362
4 0.374003
100 4
1 0.13364
2 0.129741
3 0.134563
4 0.397944
110 4
1 0.14204
2 0.135445
3 0.142766
4 0.420252
120 4
1 0.146415
2 0.140207
3 0.150746
4 0.437368
130 4
1 0.147178
2 0.145591
3 0.156223
4 0.448991
140 4
1 0.146672
2 0.149537
3 0.16145
4 0.457659
150 4
1 0.147447
2 0.151818
3 0.167033
4 0.466298
160 4
1 0.148633
2 0.155527
3 0.17173
4 0.47589
170 4
1 0.148218
2 0.159443
3 0.177351
4 0.485012
180 4
1 0.146615
2 0.163171
3 0.184244
4 0.49403
190 4
1 0.147017
2 0.166955
3 0.191274
4 0.505245
200 4
1 0.150624
2 0.169438
3 0.196714
4 0.516776
210 4
1 0.156308
2 0.170317
3 0.198137
4 0.524762
220 4
1 0.161714
2 0.170907
3 0.19471
4 0.527331
230 4
1 0.16249
2 0.174308
3 0.1899
4 0.526698
240 4
1 0.161453
2 0.180066
3 0.189338
4 0.530858
250 4
1 0.161755
2 0.18441
3 0.194314
4 0.540479
260 4
1 0.162218
2 0.188137
3 0.200698
4 0.551053
270 4
1 0.162425
2 0.191249
3 0.205097
4 0.558772
280 4
1 0.16323
2 0.193415
3 0.208775
4 0.56542
290 4
1 0.16453
2 0.194601
3 0.212261
4 0.571392
300 4
1 0.167084
2 0.193567
3 0.214441
4 0.575092
310 4
1 0.171061
2 0.192376
3 0.215213
4 0.57865
320 4
1 0.17499
2 0.191055
3 0.215871
4 0.581916
330 4
1 0.178111
2 0.188491
3 0.214954
4 0.581556
340 4
1 0.177503
2 0.185439
3 0.212748
4 0.57569
350 4
1 0.173365
2 0.18527
3 0.211056
4 0.56969
360 4
1 0.168755
2 0.189372
3 0.212367
4 0.570493
370 4
1 0.166442
2 0.19358
3 0.215926
4 0.575949
380 4
1 0.166105
2 0.194235
3 0.219093
4 0.579433
390 4
1 0.168736
2 0.1904
3 0.220743
4 0.579879
400 4
1 0.173939
2 0.184334
3 0.221161
4 0.579435
410 4
1 0.177987
2 0.18134
3 0.216853
4 0.57618
420 4
1 0.180969
2 0.182587
3 0.20988
4 0.573436
430 4
1 0.182638
2 0.184521
3 0.206614
4 0.573773
440 4
1 0.182255
2 0.184684
3 0.20876
4 0.575699
450 4
1 0.180385
2 0.183418
3 0.215017
4 0.57882
460 4
1 0.179245
2 0.182697
3 0.220112
4 0.582054
470 4
1 0.179957
2 0.184394
3 0.221226
4 0.585577
480 4
1 0.181991
2 0.188272
3 0.220823
4 0.591086
490 4
1 0.185266
2 0.192138
3 0.220737
4 0.598141
500 4
1 0.189042
2 0.195701
3 0.221363
4 0.606106
510 4
1 0.191045
2 0.200451
3 0.22465
4 0.616146
520 4
1 0.191146
2 0.20658
3 0.230208
4 0.627934
530 4
1 0.191681
2 0.214025
3 0.236381
4 0.642086
540 4
1 0.192772
2 0.220136
3 0.241052
4 0.65396
550 4
1 0.193365
2 0.222974
3 0.242054
4 0.658393
560 4
1 0.193919
2 0.224174
3 0.240618
4 0.658711
570 4
1 0.196796
2 0.223223
3 0.240205
4 0.660224
580 4
1 0.204244
2 0.218862
3 0.244486
4 0.667593
590 4
1 0.212921
2 0.215348
3 0.251563
4 0.679831
600 4
1 0.217326
2 0.21732
3 0.256879
4 0.691526
610 4
1 0.215765
2 0.223626
3 0.259229
4 0.698621
620 4
1 0.213471
2 0.229555
3 0.259936
4 0.702962
630 4
1 0.214045
2 0.233049
3 0.26095
4 0.708044
640 4
1 0.217013
2 0.234345
3 0.262501
4 0.713859
650 4
1 0.220385
2 0.234678
3 0.264542
4 0.719604
660 4
1 0.222553
2 0.236173
3 0.267792
4 0.726518
670 4
1 0.224636
2 0.237024
3 0.270058
4 0.731717
680 4
1 0.227371
2 0.235737
3 0.268807
4 0.731915
690 4
1 0.230672
2 0.233259
3 0.265822
4 0.729753
700 4
1 0.231807
2 0.231798
3 0.264174
4 0.727779
710 4
1 0.228974
2 0.233977
3 0.264096
4 0.727047
720 4
1 0.222158
2 0.238827
3 0.263183
4 0.724168
730 4
1 0.216739
2 0.243815
3 0.259808
4 0.720363
740 4
1 0.215716
2 0.247988
3 0.255792
4 0.719495
750 4
1 0.215948
2 0.247946
3 0.253248
4 0.717142
760 4
1 0.217245
2 0.242407
3 0.25303
4 0.712682
770 4
1 0.219851
2 0.235237
3 0.25423
4 0.709318
780 4
1 0.219732
2 0.230518
3 0.254615
4 0.704865
790 4
1 0.216191
2 0.230172
3 0.254915
4 0.701278
800 4
1 0.212284
2 0.23166
3 0.255472
4 0.699416
810 4
1 0.209811
2 0.232616
3 0.256543
4 0.69897
820 4
1 0.20961
2 0.233492
3 0.257469
4 0.700571
830 4
1 0.211855
2 0.232197
3 0.256983
4 0.701035
840 4
1 0.214595
2 0.229906
3 0.256781
4 0.701281
850 4
1 0.215465
2 0.229432
3 0.259002
4 0.703899
860 4
1 0.214583
2 0.229956
3 0.261642
4 0.706181
870 4
1 0.215204
2 0.231027
3 0.260227
4 0.706458
880 4
1 0.218083
2 0.234095
3 0.256352
4 0.70853
890 4
1 0.219128
2 0.23961
3 0.254534
4 0.713272
900 4
1 0.217579
2 0.246306
3 0.254665
4 0.71855
