# Time-averaged data for fix mscdwrite
# TimeStep Number-of-rows
# Row c_mscd
10 4
1 0.00833537
2 0.00804139
3 0.00804391
4 0.0244207
20 4
1 0.0253357
2 0.0260929
3 0.0251951
4 0.0766237
30 4
1 0.0331764
2 0.0327945
3 0.034367
4 0.100338
40 4
1 0.0361172
2 0.0360071
3 0.0367684
4 0.108893
50 4
1 0.0365336
2 0.0399029
3 0.0410689
4 0.117505
60 4
1 0.0368007
2 0.043718
3 0.0416058
4 0.122124
70 4
1 0.0399403
2 0.0431508
3 0.0476366
4 0.130728
80 4
1 0.0420454
2 0.0457825
3 0.0483981
4 0.136226
90 4
1 0.043775
2 0.0487453
3 0.0527333
4 0.145254
100 4
1 0.0453666
2 0.0468381
3 0.05268
4 0.144885
110 4
1 0.046345
2 0.0462274
3 0.050824
4 0.143396
120 4
1 0.0485184
2 0.049458
3 0.0540334
4 0.15201
130 4
1 0.0481214
2 0.0513297
3 0.055209
4 0.15466
140 4
1 0.0475375
2 0.052431
3 0.0554691
4 0.155438
150 4
1 0.0461137
2 0.0479974
3 0.0535279
4 0.147639
160 4
1 0.0503048
2 0.0494031
3 0.049621
4 0.149329
170 4
1 0.0480117
2 0.0503199
3 0.0541773
4 0.152509
180 4
1 0.0459334
2 0.0523833
3 0.0570054
4 0.155322
190 4
1 0.0499709
2 0.0528431
3 0.0586533
4 0.161467
200 4
1 0.0516289
2 0.056668
3 0.0617035
4 0.17
210 4
1 0.0529251
2 0.0616241
3 0.0618109
4 0.17636
220 4
1 0.0505427
2 0.0584103
3 0.0665856
4 0.175539
230 4
1 0.0472169
2 0.0543578
3 0.0596785
4 0.161253
240 4
1 0.0439452
2 0.0511895
3 0.0555807
4 0.150715
250 4
1 0.0436541
2 0.0483143
3 0.0490483
4 0.141017
260 4
1 0.042589
2 0.04555
3 0.0491242
4 0.137263
270 4
1 0.0404333
2 0.0461085
3 0.0466628
4 0.133205
280 4
1 0.0431029
2 0.0434195
3 0.0483739
4 0.134896
290 4
1 0.0411297
2 0.0446776
3 0.0476518
4 0.133459
300 4
1 0.0425924
2 0.0446089
3 0.0455832
4 0.132784
310 4
1 0.0435427
2 0.0432463
3 0.0474007
4 0.13419
320 4
1 0.0400242
2 0.0435514
3 0.0500525
4 0.133628
330 4
1 0.0383885
2 0.0444328
3 0.0487615
4 0.131583
340 4
1 0.0399963
2 0.0450498
3 0.0492933
4 0.134339
350 4
1 0.0421268
2 0.0466641
3 0.0442191
4 0.13301
360 4
1 0.0389434
2 0.0407293
3 0.0421185
4 0.121791
370 4
1 0.0377676
2 0.040666
3 0.0408811
4 0.119315
380 4
1 0.0372267
2 0.041518
3 0.0422639
4 0.121009
390 4
1 0.0357363
2 0.0366552
3 0.040644
4 0.113035
400 4
1 0.0349149
2 0.0338816
3 0.0386344
4 0.107431
410 4
1 0.0361682
2 0.0349553
3 0.0386493
4 0.109773
420 4
1 0.03525
2 0.033471
3 0.0370323
4 0.105753
430 4
1 0.0323928
2 0.0338185
3 0.0358091
4 0.10202
440 4
1 0.0302909
2 0.0353296
3 0.0339574
4 0.0995778
450 4
1 0.0301046
2 0.0344576
3 0.0347943
4 0.0993564
460 4
1 0.0301106
2 0.0331108
3 0.0351181
4 0.0983395
470 4
1 0.0296953
2 0.031961
3 0.0310127
4 0.0926689
480 4
1 0.0281121
2 0.0310491
3 0.031076
4 0.0902372
490 4
