# Time-averaged data for fix msdwrite
# TimeStep Number-of-rows
# Row c_msd
10 4
1 0.0354692
2 0.0389571
3 0.0393137
4 0.11374
20 4
1 0.0845619
2 0.093867
3 0.0916264
4 0.270055
30 4
1 0.1105
2 0.127416
3 0.120931
4 0.358847
40 4
1 0.129485
2 0.14045
3 0.147802
4 0.417737
50 4
1 0.135219
2 0.158421
3 0.165163
4 0.458803
60 4
1 0.158237
2 0.165394
3 0.173984
4 0.497616
70 4
1 0.166012
2 0.178321
3 0.186106
4 0.530439
80 4
1 0.182345
2 0.184303
3 0.211916
4 0.578564
90 4
1 0.20419
2 0.195836
3 0.225303
4 0.625329
100 4
1 0.209142
2 0.211957
3 0.239989
4 0.661089
110 4
1 0.215804
2 0.218598
3 0.252506
4 0.686907
120 4
1 0.209923
2 0.220544
3 0.269658
4 0.700125
130 4
1 0.215185
2 0.226661
3 0.280257
4 0.722103
140 4
1 0.228835
2 0.240342
3 0.273891
4 0.743068
150 4
1 0.233527
2 0.249518
3 0.277365
4 0.76041
160 4
1 0.226601
2 0.239377
3 0.274091
4 0.740069
170 4
1 0.228707
2 0.243865
3 0.294315
4 0.766887
180 4
1 0.240638
2 0.254851
3 0.322549
4 0.818039
190 4
1 0.246684
2 0.267621
3 0.331059
4 0.845364
200 4
1 0.239393
2 0.264816
3 0.310979
4 0.815188
210 4
1 0.248568
2 0.262346
3 0.293722
4 0.804636
220 4
1 0.254571
2 0.284033
3 0.30625
4 0.844855
230 4
1 0.259858
2 0.283204
3 0.321875
4 0.864938
240 4
1 0.256919
2 0.283803
3 0.316734
4 0.857455
250 4
1 0.257658
2 0.277299
3 0.310268
4 0.845224
260 4
1 0.248817
2 0.270986
3 0.294319
4 0.814122
270 4
1 0.25299
2 0.272921
3 0.305428
4 0.831339
280 4
1 0.25163
2 0.273723
3 0.301334
4 0.826687
290 4
1 0.25611
2 0.287722
3 0.306533
4 0.850364
300 4
1 0.267109
2 0.30467
3 0.313106
4 0.884885
310 4
1 0.265983
2 0.308423
3 0.320528
4 0.894934
320 4
1 0.26705
2 0.313539
3 0.329896
4 0.910484
330 4
1 0.271982
2 0.317749
3 0.32001
4 0.909741
340 4
1 0.265805
2 0.313524
3 0.325187
4 0.904516
350 4
1 0.266256
2 0.305724
3 0.324069
4 0.89605
360 4
1 0.262139
2 0.31379
3 0.323937
4 0.899867
370 4
1 0.272072
2 0.321068
3 0.330618
4 0.923759
380 4
1 0.287385
2 0.327292
3 0.335189
4 0.949865
390 4
1 0.287072
2 0.318555
3 0.333053
4 0.93868
400 4
1 0.286247
2 0.323029
3 0.337115
4 0.946391
410 4
1 0.283165
2 0.326575
3 0.344478
4 0.954219
420 4
1 0.285395
2 0.321065
3 0.351325
4 0.957785
430 4
1 0.28987
2 0.321865
3 0.370355
4 0.98209
440 4
1 0.291809
2 0.330583
3 0.371971
4 0.994363
450 4
1 0.293419
2 0.331963
3 0.369354
4 0.994736
460 4
1 0.290679
2 0.336732
3 0.372144
4 0.999555
470 4
1 0.308289
2 0.340157
3 0.376468
4 1.02491
480 4
1 0.309219
2 0.347427
3 0.375417
4 1.03206
490 4
1 0.305057
2 0.345667
3 0.383179
4 1.0339
500 4
1 0.307
2 0.33199
3 0.384145
4 1.02313
510 4
1 0.295954
2 0.323761
3 0.385661
4 1.00538
520 4
1 0.304215
2 0.318651
3 0.380579
4 1.00345
530 4
1 0.306091
2 0.3274
3 0.38558
4 1.01907
540 4
1 0.30219
2 0.330868
3 0.394055
4 1.02711
550 4
1 0.297314
2 0.333542
3 0.388563
4 1.01942
560 4
1 0.296482
2 0.325746
3 0.386438
4 1.00867
570 4
1 0.301617
2 0.333922
3 0.387596
4 1.02314
580 4
1 0.308795
2 0.331467
3 0.394749
4 1.03501
590 4
1 0.299979
2 0.331986
3 0.397522
4 1.02949
600 4
1 0.302554
2 0.33221
3 0.39875
4 1.03351
610 4
1 0.314131
2 0.330365
3 0.396546
4 1.04104
620 4
1 0.306214
2 0.327614
3 0.389469
4 1.0233
630 4
1 0.312222
2 0.330432
3 0.385519
4 1.02817
640 4
1 0.31044
2 0.340871
3 0.384849
4 1.03616
650 4
1 0.308441
2 0.339308
3 0.38137
4 1.02912
660 4
1 0.302709
2 0.350771
3 0.385329
4 1.03881
670 4
1 0.306132
2 0.341847
3 0.388264
4 1.03624
680 4
1 0.310373
2 0.347607
3 0.395494
4 1.05347
690 4
1 0.308217
2 0.342592
