# Time-averaged data for fix msdwrite
# TimeStep Number-of-rows
# Row c_msd
10 4
1 0.00296089
2 0.00292027
3 0.00293049
4 0.00881165
20 4
1 0.0230132
2 0.0240204
3 0.0226517
4 0.0696853
30 4
1 0.0522487
2 0.0568725
3 0.0496923
4 0.158814
40 4
1 0.0719395
2 0.082496
3 0.067099
4 0.221535
50 4
1 0.0819666
2 0.0987396
3 0.0782974
4 0.259004
60 4
1 0.0867624
2 0.109546
3 0.0889838
4 0.285292
70 4
1 0.0938551
2 0.121213
3 0.100997
4 0.316065
80 4
1 0.103953
2 0.134863
3 0.112038
4 0.350855
90 4
1 0.113928
2 0.146969
3 0.120962
4 0.381859
100 4
1 0.121509
2 0.154253
3 0.127414
4 0.403176
110 4
1 0.126075
2 0.156879
3 0.133
4 0.415954
120 4
1 0.128691
2 0.159099
3 0.139204
4 0.426994
130 4
1 0.130982
2 0.161552
3 0.145931
4 0.438464
140 4
1 0.134284
2 0.164827
3 0.150444
4 0.449556
150 4
1 0.137365
2 0.170652
3 0.151588
4 0.459605
160 4
1 0.138992
2 0.178367
3 0.152169
4 0.469529
170 4
1 0.139648
2 0.18609
3 0.154057
4 0.479795
180 4
1 0.141121
2 0.193964
3 0.158381
4 0.493466
190 4
1 0.145749
2 0.200586
3 0.164914
4 0.511248
200 4
1 0.153449
2 0.203831
3 0.172244
4 0.529524
210 4
1 0.161206
2 0.204858
3 0.178892
4 0.544957
220 4
1 0.168994
2 0.206029
3 0.182863
4 0.557886
230 4
1 0.176091
2 0.208762
3 0.185217
4 0.57007
240 4
1 0.181195
2 0.212996
3 0.188519
4 0.582711
250 4
1 0.185338
2 0.218476
3 0.194492
4 0.598306
260 4
1 0.190487
2 0.22654
3 0.199512
4 0.616539
270 4
1 0.196927
2 0.237444
3 0.201753
4 0.636124
280 4
1 0.202646
2 0.248803
3 0.203596
4 0.655045
290 4
1 0.206718
2 0.257615
3 0.203452
4 0.667786
300 4
1 0.209685
2 0.261135
3 0.201077
4 0.671896
310 4
1 0.213239
2 0.261047
3 0.201351
4 0.675637
320 4
1 0.217468
2 0.260208
3 0.205646
4 0.683322
330 4
1 0.220286
2 0.260103
3 0.211549
4 0.691939
340 4
1 0.220974
2 0.262277
3 0.217705
4 0.700957
350 4
1 0.21951
2 0.267481
3 0.223197
4 0.710189
360 4
1 0.21675
2 0.273107
3 0.228314
4 0.718171
370 4
1 0.212944
2 0.275317
3 0.233723
4 0.721984
380 4
1 0.209586
2 0.275428
3 0.237998
4 0.723012
390 4
1 0.205677
2 0.276009
3 0.238899
4 0.720585
400 4
1 0.201803
2 0.277586
3 0.235431
4 0.71482
410 4
1 0.199494
2 0.278563
3 0.230828
4 0.708884
420 4
1 0.200399
2 0.278089
3 0.228334
4 0.706821
430 4
1 0.205187
2 0.275633
3 0.228142
4 0.708962
440 4
1 0.212175
2 0.273456
3 0.228662
4 0.714292
450 4
1 0.216217
2 0.273857
3 0.229851
4 0.719925
460 4
1 0.216232
2 0.276347
3 0.233641
4 0.72622
470 4
1 0.217313
2 0.27927
3 0.238612
4 0.735194
480 4
1 0.222156
2 0.280638
3 0.240946
4 0.74374
490 4
1 0.225856
2 0.281345
3 0.241381
4 0.748583
500 4
1 0.227858
2 0.283335
3 0.240762
4 0.751955
510 4
1 0.230374
2 0.286037
3 0.241121
4 0.757532
520 4
1 0.234069
2 0.288702
3 0.243887
4 0.766658
530 4
1 0.238939
2 0.291769
3 0.247014
4 0.777721
540 4
1 0.245312
2 0.29729
3 0.250358
4 0.79296
550 4
1 0.250943
2 0.303816
3 0.254112
4 0.808872
560 4
1 0.255019
2 0.307891
3 0.255938
4 0.818848
570 4
1 0.257621
2 0.308384
3 0.254268
4 0.820274
580 4
1 0.260322
2 0.307285
3 0.250764
4 0.818371
590 4
1 0.262703
2 0.307948
3 0.248928
4 0.819579
600 4
1 0.263035
2 0.308712
3 0.250549
4 0.822297
610 4
1 0.260691
2 0.306247
3 0.251499
4 0.818437
620 4
1 0.258342
2 0.299519
3 0.25048
4 0.808341
630 4
1 0.2576
2 0.289704
3 0.250888
4 0.798192
640 4
1 0.259643
2 0.28095
3 0.251841
4 0.792434
650 4
1 0.262494
2 0.27575
3 0.249842
4 0.788085
660 4
1 0.261022
2 0.276473
3 0.247236
4 0.78473
670 4
1 0.256332
2 0.282148
3 0.24719
4 0.78567
680 4
1 0.251711
2 0.288774
3 0.248542
4 0.789027
690 4
1 0.249571
2 0.291615
3 0.251034
4 0.792221
700 4
1 0.249915
2 0.290591
3 0.253643
4 0.794149
710 4
1 0.252035
2 0.288564
3 0.253939
4 0.794538
720 4
1 0.2547
2 0.285708
3 0.25133
4 0.791738
730 4
1 0.256928
2 0.284223
3 0.247142
4 0.788293
740 4
1 0.258298
2 0.286501
3 0.245082
4 0.78988
750 4
1 0.258112
2 0.290197
3 0.247808
4 0.796117
760 4
1 0.255423
2 0.291798
3 0.253807
4 0.801028
770 4
1 0.251601
2 0.291573
3 0.260583
4 0.803757
780 4
1 0.248301
2 0.293566
3 0.2668
4 0.808667
790 4
1 0.248874
2 0.299648
3 0.271284
4 0.819807
800 4
1 0.252406
2 0.306519
3 0.273995
4 0.83292
810 4
1 0.254641
2 0.310637
3 0.277544
4 0.842822
820 4
1 0.256552
2 0.313324
3 0.281817
4 0.851693
830 4
1 0.25914
2 0.314277
3 0.283496
4 0.856913
840 4
1 0.262004
2 0.314145
3 0.282092
4 0.858241
850 4
1 0.263316
2 0.314865
3 0.281213
4 0.859394
860 4
1 0.261652
2 0.316415
3 0.282881
4 0.860948
870 4
1 0.258521
2 0.319049
3 0.286559
4 0.864129
880 4
1 0.257847
2 0.322942
3 0.289719
4 0.870508
890 4
1 0.262992
2 0.327644
3 0.290929
4 0.881565
900 4
1 0.272572
2 0.332415
3 0.29243
4 0.897417
910 4
1 0.280043
2 0.336769
3 0.297958
4 0.91477
920 4
1 0.282376
2 0.339613
3 0.306467
4 0.928456
930 4
1 0.280499
2 0.340933
3 0.311728
4 0.93316
940 4
1 0.278132
2 0.341308
3 0.31045
4 0.929889
950 4
1 0.277005
2 0.338386
3 0.305538
4 0.920928
960 4
1 0.274883
2 0.334049
3 0.301337
4 0.910268
970 4
1 0.269966
2 0.331776
3 0.299182
4 0.900924
980 4
1 0.264835
2 0.33129
3 0.298715
4 0.89484
990 4
1 0.262911
2 0.32971
3 0.299648
4 0.892269
1000 4
1 0.264608
2 0.324975
3 0.300495
4 0.890079
1010 4
1 0.2675
2 0.319033
3 0.300703
4 0.887236
1020 4
1 0.26967
2 0.315294
3 0.299983
4 0.884947
1030 4
1 0.270767
2 0.314741
3 0.297362
4 0.882869
1040 4
1 0.271017
2 0.317687
3 0.293378
4 0.882083
1050 4
1 0.269716
2 0.322237
3 0.289449
4 0.881402
1060 4
1 0.267104
2 0.326411
3 0.285937
4 0.879453
1070 4
1 0.265133
2 0.327329
3 0.284267
4 0.876729
1080 4
1 0.267001
2 0.324672
3 0.284418
4 0.876092
1090 4
1 0.273332
2 0.321449
3 0.282477
4 0.877258
1100 4
1 0.280205
2 0.319891
3 0.278932
4 0.879027
1110 4
1 0.282451
2 0.319389
3 0.279595
4 0.881435
1120 4
1 0.280494
2 0.320169
3 0.284071
4 0.884735
1130 4
1 0.279283
2 0.323031
3 0.288754
4 0.891068
1140 4
1 0.279529
2 0.327431
3 0.290635
4 0.897596
1150 4
1 0.281028
2 0.330341
3 0.289297
4 0.900666
1160 4
1 0.284408
2 0.329648
3 0.287792
4 0.901848
1170 4
1 0.288079
2 0.325933
3 0.288764
4 0.902777
1180 4
1 0.289139
2 0.322692
3 0.289195
4 0.901026
1190 4
1 0.288255
2 0.321269
3 0.285535
4 0.895058
1200 4
1 0.287257
2 0.31969
3 0.280907
4 0.887854
1210 4
1 0.284834
2 0.316361
3 0.280302
4 0.881498
1220 4
1 0.280063
2 0.311803
3 0.282263
4 0.874129
1230 4
1 0.274943
2 0.309105
3 0.284466
4 0.868514
1240 4
1 0.269954
2 0.309901
3 0.285731
4 0.865586
1250 4
1 0.269603
2 0.310975
3 0.286774
4 0.867351
1260 4
1 0.27586
2 0.310323
3 0.288534
4 0.874717
1270 4
1 0.285189
2 0.309586
3 0.291128
4 0.885903
1280 4
1 0.293103
2 0.309291
3 0.294474
4 0.896868
1290 4
1 0.297012
2 0.308912
3 0.297805
4 0.903729
1300 4
1 0.296453
2 0.309157
3 0.300035
4 0.905645
1310 4
1 0.292425
2 0.311536
3 0.301316
4 0.905277
1320 4
1 0.287242
2 0.316158
3 0.303296
4 0.906696
1330 4
1 0.28407
2 0.319383
3 0.304956
4 0.908409
1340 4
1 0.284537
2 0.319354
3 0.303558
4 0.907449
1350 4
1 0.287009
2 0.319277
3 0.300346
4 0.906633
1360 4
1 0.289607
2 0.321727
3 0.296214
4 0.907549
1370 4
1 0.291785
2 0.325587
3 0.292345
4 0.909716
1380 4
1 0.294825
2 0.329535
3 0.291329
4 0.915688
1390 4
1 0.299976
2 0.332309
3 0.294005
4 0.92629
1400 4
1 0.306675
2 0.333797
3 0.298226
4 0.938698
1410 4
1 0.311303
2 0.333376
3 0.30123
4 0.945908
1420 4
1 0.311112
2 0.330581
3 0.302254
4 0.943947
1430 4
1 0.30672
2 0.328355
3 0.301989
4 0.937064
1440 4
1 0.301228
2 0.329143
3 0.2993
4 0.929671
1450 4
1 0.298641
2 0.332644
3 0.29449
4 0.925776
1460 4
1 0.298443
2 0.337094
3 0.291517
4 0.927053
1470 4
1 0.297737
2 0.341365
3 0.293619
4 0.932721
1480 4
1 0.29676
2 0.346584
3 0.299384
4 0.942728
1490 4
1 0.294411
2 0.351336
3 0.303738
4 0.949484
1500 4
1 0.290905
2 0.35368
3 0.305161
4 0.949747
1510 4
1 0.288914
2 0.351488
3 0.305183
4 0.945584
1520 4
1 0.290836
2 0.34634
3 0.305659
4 0.942835
1530 4
1 0.294929
2 0.342273
3 0.30637
4 0.943573
1540 4
1 0.297825
2 0.34124
3 0.305543
4 0.944609
1550 4
1 0.298258
2 0.341588
3 0.303517
4 0.943364
1560 4
1 0.296925
2 0.341592
3 0.302736
4 0.941253
1570 4
1 0.296108
2 0.340127
3 0.304126
4 0.94036
1580 4
1 0.297663
2 0.336786
3 0.306196
4 0.940645
1590 4
1 0.302336
2 0.332889
3 0.306743
4 0.941968
1600 4
1 0.307128
2 0.331657
3 0.305767
4 0.944552
1610 4
1 0.310119
2 0.335733
3 0.304252
4 0.950105
1620 4
1 0.311501
2 0.343883
3 0.303752
4 0.959136
1630 4
1 0.311571
2 0.352783
3 0.304896
4 0.96925
1640 4
1 0.312293
2 0.359761
3 0.308304
4 0.980358
1650 4
1 0.313749
2 0.362948
3 0.313467
4 0.990164
1660 4
1 0.314493
2 0.362533
3 0.320502
4 0.997528
1670 4
1 0.315343
2 0.361368
3 0.327532
4 1.00424
1680 4
1 0.319278
2 0.363826
3 0.328286
4 1.01139
1690 4
1 0.32361
2 0.369405
3 0.321524
4 1.01454
1700 4
1 0.323884
2 0.373638
3 0.312691
4 1.01021
1710 4
1 0.318981
2 0.375112
3 0.308461
4 1.00255
1720 4
1 0.312441
2 0.373023
3 0.311014
4 0.996478
1730 4
1 0.308251
2 0.368841
3 0.315686
4 0.992778
1740 4
1 0.308595
2 0.363708
3 0.317554
4 0.989857
1750 4
1 0.312709
2 0.361019
3 0.316477
4 0.990204
1760 4
1 0.316486
2 0.363283
3 0.313073
4 0.992841
1770 4
1 0.317958
2 0.367638
3 0.312008
4 0.997604
1780 4
1 0.317284
2 0.372373
3 0.31527
4 1.00493
1790 4
1 0.316423
2 0.376916
3 0.320031
4 1.01337
1800 4
1 0.317472
2 0.381135
3 0.322081
4 1.02069
1810 4
1 0.319824
2 0.385913
3 0.320197
4 1.02593
1820 4
1 0.320207
2 0.389512
3 0.31647
4 1.02619
1830 4
1 0.318771
2 0.389392
3 0.313511
4 1.02167
1840 4
1 0.319371
2 0.384476
3 0.312784
4 1.01663
1850 4
1 0.323112
2 0.377107
3 0.314076
4 1.01429
1860 4
1 0.325853
2 0.372893
3 0.315869
4 1.01461
1870 4
1 0.324626
2 0.372336
3 0.315572
4 1.01253
1880 4
1 0.322066
2 0.373387
3 0.314378
4 1.00983
1890 4
1 0.321612
2 0.373421
3 0.314558
4 1.00959
1900 4
1 0.323263
2 0.371598
3 0.315641
4 1.0105
1910 4
1 0.324047
2 0.369351
3 0.316994
4 1.01039
1920 4
1 0.32287
2 0.369107
3 0.318111
4 1.01009
1930 4
1 0.321423
2 0.370203
3 0.318532
4 1.01016
1940 4
1 0.32149
2 0.370169
3 0.318795
4 1.01045
1950 4
1 0.321775
2 0.369899
3 0.318818
4 1.01049
1960 4
1 0.321856
2 0.371459
3 0.317656
4 1.01097
1970 4
1 0.322691
2 0.37441
3 0.315169
4 1.01227
1980 4
1 0.323596
2 0.377239
3 0.313612
4 1.01445
1990 4
1 0.325162
2 0.378183
3 0.315179
4 1.01852
2000 4
1 0.325622
2 0.378828
3 0.31979
4 1.02424
2010 4
1 0.323458
2 0.378632
3 0.325663
4 1.02775
2020 4
1 0.321016
2 0.377502
3 0.329183
4 1.0277
2030 4
1 0.320704
2 0.377637
3 0.328109
4 1.02645
2040 4
1 0.32352
2 0.378182
3 0.325498
4 1.0272
2050 4
1 0.328701
2 0.377569
3 0.326096
4 1.03237
2060 4
1 0.335107
2 0.376088
3 0.327719
4 1.03891
2070 4
1 0.34003
2 0.375114
3 0.327988
4 1.04313
2080 4
1 0.340897
2 0.376129
3 0.327587
4 1.04461
2090 4
1 0.338373
2 0.379583
3 0.32694
4 1.0449
2100 4
1 0.335109
2 0.38412
3 0.326613
4 1.04584
2110 4
1 0.334561
2 0.386868
3 0.32769
4 1.04912
2120 4
1 0.337504
2 0.386057
3 0.330748
4 1.05431
