# Time-averaged data for fix mscdwrite
# TimeStep Number-of-rows
# Row c_mscd
10 4
1 0.000794073
2 0.000783669
3 0.000785334
4 0.00236308
20 4
1 0.00773185
2 0.00774253
3 0.00743099
4 0.0229054
30 4
1 0.0181683
2 0.0177902
3 0.0161119
4 0.0520705
40 4
1 0.0261913
2 0.0252418
3 0.0231587
4 0.0745918
50 4
1 0.030061
2 0.0297886
3 0.0291772
4 0.0890268
60 4
1 0.0324432
2 0.0332138
3 0.0338624
4 0.0995194
70 4
1 0.0364453
2 0.0381889
3 0.0375828
4 0.112217
80 4
1 0.0432639
2 0.0434858
3 0.0404108
4 0.12716
90 4
1 0.0499634
2 0.0466457
3 0.0424517
4 0.139061
100 4
1 0.0529152
2 0.0471466
3 0.0440693
4 0.144131
110 4
1 0.052265
2 0.0465981
3 0.0462258
4 0.145089
120 4
1 0.0496782
2 0.046205
3 0.0488537
4 0.144737
130 4
1 0.0479296
2 0.0473309
3 0.0507474
4 0.146008
140 4
1 0.0485024
2 0.0493913
3 0.0531237
4 0.151017
150 4
1 0.0496749
2 0.0514116
3 0.0550264
4 0.156113
160 4
1 0.0514408
2 0.0540631
3 0.0552965
4 0.1608
170 4
1 0.0556211
2 0.056916
3 0.0556995
4 0.168237
180 4
1 0.0589791
2 0.059719
3 0.0573402
4 0.176038
190 4
1 0.0595881
2 0.0624113
3 0.0595486
4 0.181548
200 4
1 0.0590776
2 0.0644252
3 0.0613861
4 0.184889
210 4
1 0.0582406
2 0.0670522
3 0.0631553
4 0.188448
220 4
1 0.0590089
2 0.0676386
3 0.0624242
4 0.189072
230 4
1 0.0593754
2 0.0651223
3 0.0600918
4 0.184589
240 4
1 0.0573209
2 0.0629654
3 0.0585637
4 0.17885
250 4
1 0.0561277
2 0.0622518
3 0.0575132
4 0.175893
260 4
1 0.0567143
2 0.0619254
3 0.055871
4 0.174511
270 4
1 0.0576428
2 0.0613318
3 0.0557398
4 0.174714
280 4
1 0.05813
2 0.060402
3 0.0584794
4 0.177011
290 4
1 0.0578025
2 0.0595233
3 0.0613283
4 0.178654
300 4
1 0.0574196
2 0.0599143
3 0.0625999
4 0.179934
310 4
1 0.0573061
2 0.0614297
3 0.0633308
4 0.182067
320 4
1 0.0582907
2 0.0631498
3 0.0646383
4 0.186079
330 4
1 0.060671
2 0.0644662
3 0.0657776
4 0.190915
340 4
1 0.0624754
2 0.0660224
3 0.0669372
4 0.195435
350 4
1 0.0632989
2 0.0661202
3 0.0683234
4 0.197743
360 4
1 0.0652746
2 0.0662047
3 0.0697884
4 0.201268
370 4
1 0.067592
2 0.068742
3 0.0712764
4 0.20761
380 4
1 0.0704905
2 0.0712723
3 0.0715099
4 0.213273
390 4
1 0.0729056
2 0.0721534
3 0.0715047
4 0.216564
400 4
1 0.0738802
2 0.0724612
3 0.0722582
4 0.2186
410 4
1 0.0738999
2 0.072093
3 0.0738863
