# Time-averaged data for fix mscdwrite
# TimeStep Number-of-rows
# Row c_mscd
10 4
1 0.0109396
2 0.0108509
3 0.00952644
4 0.031317
20 4
1 0.0305724
2 0.0315968
3 0.0322244
4 0.0943937
30 4
1 0.0405985
2 0.0392079
3 0.0456041
4 0.125411
40 4
1 0.0454596
2 0.0444134
3 0.0475101
4 0.137383
50 4
1 0.0500976
2 0.0515412
3 0.0555653
4 0.157204
60 4
1 0.0515671
2 0.0553959
3 0.0558386
4 0.162802
70 4
1 0.0580327
2 0.0576208
3 0.058152
4 0.173805
80 4
1 0.0588072
2 0.0589306
3 0.0631332
4 0.180871
90 4
1 0.0607578
2 0.0584769
3 0.0651859
4 0.184421
100 4
1 0.0622856
2 0.0714808
3 0.064472
4 0.198238
110 4
1 0.0649268
2 0.0707181
3 0.0636769
4 0.199322
120 4
1 0.0685937
2 0.0711767
3 0.0652842
4 0.205055
130 4
1 0.0694602
2 0.0706862
3 0.0666117
4 0.206758
140 4
1 0.0690761
2 0.071092
3 0.0690392
4 0.209207
150 4
1 0.068099
2 0.0666769
3 0.0660054
4 0.200781
160 4
1 0.0681308
2 0.0625468
3 0.0590837
4 0.189761
170 4
1 0.0641261
2 0.0563298
3 0.0583269
4 0.178783
180 4
1 0.0724053
2 0.0582484
3 0.0578416
4 0.188495
190 4
1 0.0691519
2 0.0613729
3 0.0593738
4 0.189899
200 4
1 0.0682597
2 0.0619052
3 0.0607197
4 0.190885
210 4
1 0.0686554
2 0.0658779
3 0.0612284
4 0.195762
220 4
1 0.0647544
2 0.0660391
3 0.059086
4 0.189879
230 4
1 0.0656184
2 0.0626429
3 0.0608676
4 0.189129
240 4
1 0.0588558
2 0.0650531
3 0.0646534
4 0.188562
250 4
1 0.0600925
2 0.0637519
3 0.059761
4 0.183605
260 4
1 0.0616756
2 0.071512
3 0.058875
4 0.192063
270 4
1 0.0622616
2 0.0668402
3 0.0604941
4 0.189596
280 4
1 0.0632363
2 0.0649059
3 0.0648828
4 0.193025
290 4
1 0.0640099
2 0.0671325
3 0.068696
4 0.199838
300 4
1 0.0682914
2 0.0641981
3 0.0659824
4 0.198472
310 4
1 0.0639203
2 0.0632489
3 0.0631294
4 0.190299
320 4
1 0.0647755
2 0.0689459
3 0.0596067
4 0.193328
330 4
1 0.0645114
2 0.0618347
3 0.0607581
4 0.187104
340 4
1 0.0622227
2 0.0630464
3 0.0586956
4 0.183965
350 4
1 0.0614671
2 0.066859
3 0.0593441
4 0.18767
360 4
1 0.0602898
2 0.0663684
3 0.0581772
4 0.184835
370 4
1 0.0579961
2 0.0624976
3 0.0602909
4 0.180785
380 4
1 0.0558281
2 0.061423
3 0.0582673
4 0.175518
390 4
1 0.055339
2 0.0588918
3 0.0557261
4 0.169957
400 4
1 0.0579386
2 0.0620143
3 0.056049
4 0.176002
410 4
1 0.0606575
2 0.0666832
3 0.0564694
4 0.18381
420 4
1 0.0622706
2 0.0668793
3 0.0623907
4 0.191541
430 4
1 0.0621247
2 0.0668857
3 0.0670269
4 0.196037
440 4
1 0.0624725
