# Time-averaged data for fix msdwrite
# TimeStep Number-of-rows
# Row c_msd
10 4
1 0.0402108
2 0.0400391
3 0.0360304
4 0.11628
20 4
1 0.0877124
2 0.0929871
3 0.0857686
4 0.266468
30 4
1 0.119054
2 0.124243
3 0.115401
4 0.358697
40 4
1 0.137733
2 0.14306
3 0.134389
4 0.415182
50 4
1 0.138905
2 0.154393
3 0.140218
4 0.433516
60 4
1 0.155463
2 0.163583
3 0.147622
4 0.466668
70 4
1 0.173124
2 0.172053
3 0.153507
4 0.498684
80 4
1 0.174622
2 0.176237
3 0.162912
4 0.513771
90 4
1 0.17623
2 0.178993
3 0.164363
4 0.519586
100 4
1 0.174803
2 0.175978
3 0.163134
4 0.513915
110 4
1 0.170224
2 0.189427
3 0.166514
4 0.526165
120 4
1 0.181853
2 0.196517
3 0.163308
4 0.541678
130 4
1 0.185186
2 0.200369
3 0.173438
4 0.558993
140 4
1 0.182385
2 0.214848
3 0.181099
4 0.578332
150 4
1 0.185058
2 0.224325
3 0.186069
4 0.595452
160 4
1 0.192071
2 0.231471
3 0.190767
4 0.614309
170 4
1 0.190847
2 0.235784
3 0.199591
4 0.626223
180 4
1 0.195462
2 0.235741
3 0.206843
4 0.638046
190 4
1 0.196604
2 0.244061
3 0.201858
4 0.642523
200 4
1 0.193661
2 0.243865
3 0.205329
4 0.642854
210 4
1 0.200427
2 0.236959
3 0.206934
4 0.64432
220 4
1 0.210144
2 0.24469
3 0.209108
4 0.663942
230 4
1 0.212404
2 0.239009
3 0.205188
4 0.656601
240 4
1 0.20809
2 0.237838
3 0.203772
4 0.6497
250 4
1 0.212909
2 0.245438
3 0.20561
4 0.663958
260 4
1 0.219083
2 0.25517
3 0.209043
4 0.683296
270 4
1 0.215599
2 0.263285
3 0.207945
4 0.686829
280 4
1 0.226772
2 0.260891
3 0.22057
4 0.708233
290 4
1 0.230006
2 0.26236
3 0.224594
4 0.71696
300 4
1 0.225945
2 0.257778
3 0.216332
4 0.700055
310 4
1 0.228877
2 0.257218
3 0.220005
4 0.7061
320 4
1 0.232192
2 0.264063
3 0.221697
4 0.717952
330 4
1 0.236933
2 0.268641
3 0.225048
4 0.730621
340 4
1 0.231201
2 0.272747
3 0.228154
4 0.732101
350 4
1 0.232999
2 0.277966
3 0.223825
4 0.73479
360 4
1 0.238595
2 0.272379
3 0.226881
4 0.737855
370 4
1 0.238485
2 0.269485
3 0.223557
4 0.731527
380 4
1 0.247457
2 0.277041
3 0.225348
4 0.749847
390 4
1 0.244786
2 0.281013
3 0.225143
4 0.750941
400 4
1 0.245891
2 0.275808
3 0.218877
4 0.740576
410 4
1 0.241455
2 0.272386
3 0.22253
4 0.736371
420 4
1 0.247897
2 0.268281
3 0.225757
4 0.741935
430 4
1 0.249499
2 0.269836
3 0.224486
4 0.74382
440 4
1 0.25274
2 0.264883
3 0.22941
4 0.747033
450 4
1 0.247935
2 0.265208
3 0.229858
4 0.743002
460 4
1 0.250673
2 0.270744
3 0.232471
4 0.753889
470 4
1 0.254578
2 0.279763
3 0.232536
4 0.766878
480 4
1 0.257429
2 0.28283
3 0.236482
4 0.776741
490 4
1 0.251648
2 0.282284
3 0.237651
4 0.771583
500 4
1 0.252528
2 0.286562
3 0.234765
4 0.773855
510 4
1 0.24899
2 0.277676
3 0.240703
4 0.76737
520 4
1 0.246868
2 0.28339
3 0.233826
4 0.764085
530 4
1 0.25511
2 0.286259
3 0.230476
4 0.771844
540 4
1 0.256085
2 0.290574
3 0.233709
4 0.780368
550 4
1 0.259976
2 0.283861
3 0.232211
4 0.776048
560 4
1 0.255319
2 0.2843
3 0.234969
4 0.774589
570 4
1 0.250722
2 0.280422
3 0.234709
4 0.765853
580 4
1 0.251162
2 0.279774
3 0.242773
4 0.773708
590 4
1 0.252674
2 0.281329
3 0.238256
4 0.772259
600 4
1 0.250086
2 0.282174
3 0.234899
4 0.767159
610 4
1 0.247986
2 0.283339
3 0.23214
4 0.763466
620 4
1 0.247088
2 0.280347
3 0.234277
4 0.761711
630 4
1 0.248669
2 0.283998
3 0.231732
4 0.764398
640 4
1 0.25493
2 0.284994
3 0.232737
4 0.772662
650 4
1 0.259833
2 0.28304
3 0.231536
4 0.77441
660 4
1 0.24932
2 0.28303
3 0.227184
4 0.759535
670 4
1 0.246218
2 0.279126
3 0.228828
4 0.754172
680 4
1 0.241126
2 0.274707
3 0.226442
4 0.742274
690 4
1 0.243591
2 0.27875
3 0.225064
4 0.747405
700 4
1 0.246294
2 0.288855
3 0.23048
4 0.765629
710 4
1 0.242599
2 0.288129
3 0.231003
4 0.76173
720 4
1 0.248945
2 0.283495
3 0.232367
4 0.764807
730 4
1 0.251929
2 0.280083
3 0.227192
4 0.759204
740 4
1 0.250786
2 0.289068
3 0.230922
4 0.770776
750 4
1 0.255431
2 0.285871
3 0.230028
4 0.771331
760 4
1 0.25469
2 0.282834
3 0.228937
4 0.766461
770 4
1 0.24855
2 0.284377
3 0.226116
4 0.759043
780 4
1 0.244257
2 0.282647
3 0.231535
4 0.758439
790 4
1 0.241044
2 0.281735
3 0.227242
4 0.75002
800 4
1 0.245303
2 0.27917
3 0.22826
4 0.752733
810 4
1 0.24545
2 0.275811
3 0.231585
4 0.752846
