# Time-averaged data for fix mscdwrite
# TimeStep Number-of-rows
# Row c_mscd
10 4
1 0.000799895
2 0.000788142
3 0.000751059
4 0.0023391
20 4
1 0.00815159
2 0.0080502
3 0.00725692
4 0.0234587
30 4
1 0.018749
2 0.0191473
3 0.0162613
4 0.0541577
40 4
1 0.0281599
2 0.0289349
3 0.0237567
4 0.0808516
50 4
1 0.0364908
2 0.0351517
3 0.0303446
4 0.101987
60 4
1 0.0426525
2 0.0382965
3 0.0358953
4 0.116844
70 4
1 0.0471468
2 0.0424994
3 0.042708
4 0.132354
80 4
1 0.0495895
2 0.0476827
3 0.0489996
4 0.146272
90 4
1 0.0519436
2 0.052296
3 0.0524774
4 0.156717
100 4
1 0.0540776
2 0.0552733
3 0.054148
4 0.163499
110 4
1 0.0560037
2 0.056306
3 0.0543047
4 0.166614
120 4
1 0.0575864
2 0.0566587
3 0.0542045
4 0.16845
130 4
1 0.056946
2 0.0581439
3 0.0548643
4 0.169954
140 4
1 0.0577807
2 0.0598525
3 0.055533
4 0.173166
150 4
1 0.0607743
2 0.0602722
3 0.0549922
4 0.176039
160 4
1 0.0612372
2 0.0594022
3 0.0547352
4 0.175375
170 4
1 0.0589883
2 0.0581098
3 0.0551444
4 0.172243
180 4
1 0.0567769
2 0.0573717
3 0.0564474
4 0.170596
190 4
1 0.0562383
2 0.057791
3 0.0597423
4 0.173772
200 4
1 0.0572956
2 0.0592691
3 0.0623517
4 0.178916
210 4
1 0.0576887
2 0.0595504
3 0.0619207
4 0.17916
220 4
1 0.0575925
2 0.0580005
3 0.0613851
4 0.176978
230 4
1 0.0599702
2 0.0574807
3 0.0640039
4 0.181455
240 4
1 0.06338
2 0.0579186
3 0.0670173
4 0.188316
250 4
1 0.0658671
2 0.0599174
3 0.0703992
4 0.196184
260 4
1 0.0686615
2 0.0626087
3 0.0741951
4 0.205465
270 4
1 0.0715254
2 0.0637746
3 0.0755516
4 0.210852
280 4
1 0.0749965
2 0.0652195
3 0.0757086
4 0.215925
290 4
1 0.0760867
2 0.0677163
3 0.0762101
4 0.220013
300 4
1 0.0750699
2 0.0697658
3 0.0778654
4 0.222701
310 4
1 0.076484
2 0.0691842
3 0.080937
4 0.226605
320 4
1 0.0795572
2 0.0681752
3 0.0837256
4 0.231458
330 4
1 0.0823055
2 0.0695943
3 0.0842475
4 0.236147
340 4
1 0.0842028
2 0.0737901
3 0.0827408
4 0.240734
350 4
1 0.0856238
2 0.0780404
3 0.0817796
4 0.245444
360 4
1 0.0865037
2 0.08007
3 0.0836678
4 0.250241
370 4
1 0.0889925
2 0.0798025
3 0.0864348
4 0.25523
380 4
1 0.0917382
2 0.0785779
3 0.0883493
4 0.258665
390 4
1 0.0909339
2 0.0775947
3 0.0910741
4 0.259603
400 4
1 0.0878445
2 0.0784036
3 0.094641
4 0.260889
410 4
1 0.0859061
2 0.0806334
3 0.0988221
4 0.265362
420 4
1 0.0846601
2 0.0820608
3 0.102252
4 0.268973
430 4
