# Time-averaged data for fix mscdwrite
# TimeStep Number-of-rows
# Row c_mscd
10 4
1 0.000817812
2 0.000757597
3 0.00071769
4 0.0022931
20 4
1 0.00811073
2 0.0072435
3 0.00688361
4 0.0222378
30 4
1 0.018408
2 0.0159959
3 0.0156038
4 0.0500077
40 4
1 0.0255089
2 0.0238615
3 0.0228318
4 0.0722022
50 4
1 0.0315244
2 0.0306403
3 0.0295953
4 0.0917599
60 4
1 0.0357663
2 0.0344218
3 0.0333042
4 0.103492
70 4
1 0.0386989
2 0.0371863
3 0.0350602
4 0.110945
80 4
1 0.0402063
2 0.040469
3 0.0384666
4 0.119142
90 4
1 0.0413009
2 0.0438759
3 0.0426597
4 0.127836
100 4
1 0.0432173
2 0.0461556
3 0.0442599
4 0.133633
110 4
1 0.0449636
2 0.0470371
3 0.0445155
4 0.136516
120 4
1 0.0468319
2 0.048874
3 0.0454819
4 0.141188
130 4
1 0.047605
2 0.0500523
3 0.0466589
4 0.144316
140 4
1 0.0485155
2 0.0524504
3 0.0490516
4 0.150018
150 4
1 0.0513695
2 0.0558652
3 0.0520184
4 0.159253
160 4
1 0.0547219
2 0.0563993
3 0.0549924
4 0.166114
170 4
1 0.0548331
2 0.056225
3 0.0580393
4 0.169097
180 4
1 0.0543156
2 0.0572119
3 0.0601903
4 0.171718
190 4
1 0.0553904
2 0.057328
3 0.0602366
4 0.172955
200 4
1 0.0555228
2 0.057163
3 0.0603355
4 0.173021
210 4
1 0.0561512
2 0.0580858
3 0.0618508
4 0.176088
220 4
1 0.059727
2 0.0596547
3 0.062122
4 0.181504
230 4
1 0.0627302
2 0.0611321
3 0.0618298
4 0.185692
240 4
1 0.0633622
2 0.0629449
3 0.062842
4 0.189149
250 4
1 0.0623
2 0.0641733
3 0.0632931
4 0.189766
260 4
1 0.0614584
2 0.0645635
3 0.0647961
4 0.190818
270 4
1 0.062562
2 0.0622186
3 0.0671902
4 0.191971
280 4
1 0.0656224
2 0.0580705
3 0.0687534
4 0.192446
290 4
1 0.0678034
2 0.056071
3 0.0694996
4 0.193374
300 4
1 0.0671608
2 0.056685
3 0.0711337
4 0.194979
310 4
1 0.0655966
2 0.0579922
3 0.0732691
4 0.196858
320 4
1 0.064809
2 0.0596966
3 0.0748321
4 0.199338
330 4
1 0.063865
2 0.0632934
3 0.0757118
4 0.20287
340 4
1 0.0647734
2 0.0679487
3 0.0760132
4 0.208735
350 4
1 0.0686367
2 0.0708946
3 0.0769137
4 0.216445
360 4
1 0.0733118
2 0.0717245
3 0.0780216
4 0.223058
370 4
1 0.0749956
2 0.0722065
3 0.0769603
4 0.224162
380 4
1 0.0737226
2 0.074096
3 0.076511
4 0.22433
390 4
1 0.0719358
2 0.0761544
3 0.0786276
4 0.226718
400 4
1 0.0713597
2 0.0758042
3 0.0811273
4 0.228291
410 4
1 0.0709219
2 0.0732893
3 0.0823273
4 0.226539
420 4
1 0.0702787
2 0.0718885
3 0.0848841
4 0.227051
430 4
1 0.07015
2 0.0732381
3 0.0865336
4 0.229922
440 4
1 0.0720802
2 0.0751062
3 0.0880433
4 0.23523
450 4
1 0.0750209
2 0.076082
3 0.0906068
4 0.24171
460 4
1 0.0758822
2 0.075965
3 0.0917212
4 0.243568
470 4
1 0.0738997
2 0.0754296
3 0.0906954
4 0.240025
480 4
1 0.0712712
2 0.0744353
3 0.0894065
4 0.235113
490 4
1 0.0702018
2 0.0730989
3 0.0899643
4 0.233265
500 4
1 0.0706483
2 0.0727265
3 0.0912736
4 0.234648
510 4
1 0.070665
2 0.0741432
3 0.0922757
4 0.237084
520 4
1 0.0689698
2 0.077693
3 0.0908335
4 0.237496
530 4
1 0.0679731
2 0.0810454
3 0.0887602
4 0.237779
540 4
1 0.0689825
2 0.0818286
3 0.0872739
4 0.238085
550 4
1 0.071591
2 0.0817027
3 0.0866633
4 0.239957
560 4
1 0.0741408
2 0.0817755
3 0.086056
4 0.241972
570 4
1 0.0753597
2 0.0828673
3 0.0846083
4 0.242835
580 4
1 0.076806
2 0.0856109
3 0.0838218
4 0.246239
590 4
1 0.0776681
2 0.0876527
3 0.0823974
4 0.247718
600 4
1 0.0772778
2 0.0886235
3 0.0806729
4 0.246574
610 4
1 0.0758739
2 0.0895437
3 0.0810162
4 0.246434
620 4
1 0.0752381
2 0.0903598
3 0.0823681
4 0.247966
630 4
1 0.0783914
2 0.0905671
3 0.0838298
4 0.252788
640 4
1 0.082997
2 0.0879407
3 0.0833348
4 0.254273
650 4
1 0.0855269
2 0.0849568
3 0.0830703
4 0.253554
660 4
1 0.0845068
2 0.0827989
3 0.084328
4 0.251634
670 4
1 0.0813631
2 0.0815999
3 0.0854505
4 0.248414
680 4
1 0.0800943
2 0.0806397
3 0.0862796
4 0.247014
690 4
1 0.0804578
2 0.0807224
3 0.0866621
4 0.247842
700 4
1 0.0802835
2 0.0810687
3 0.0876483
4 0.249
710 4
1 0.0797401
2 0.0814858
3 0.0871589
4 0.248385
720 4
1 0.078592
2 0.0816187
3 0.0856767
4 0.245887
730 4
1 0.0772503
2 0.0800021
3 0.0864064
4 0.243659
740 4
1 0.0747391
2 0.0780611
3 0.0872411
4 0.240041
750 4
1 0.0717036
2 0.0782739
3 0.0852733
4 0.235251
760 4
1 0.0694706
2 0.0788934
3 0.0824367
4 0.230801
770 4
1 0.068489
2 0.0783063
3 0.0810564
4 0.227852
780 4
1 0.0695457
2 0.0777819
3 0.0796171
4 0.226945
790 4
1 0.0715717
2 0.0770083
3 0.0793064
4 0.227886
800 4
1 0.0734355
2 0.0779766
3 0.0795828
4 0.230995
810 4
1 0.0750095
2 0.0809509
3 0.0806312
4 0.236592
820 4
1 0.0765383
2 0.0849814
3 0.0831396
4 0.244659
830 4
1 0.0785174
2 0.0869705
3 0.0857601
4 0.251248
840 4
1 0.0809951
2 0.0865416
3 0.087585
4 0.255122
850 4
1 0.0839795
2 0.0855975
3 0.0869876
4 0.256565
860 4
1 0.0858182
2 0.0855217
3 0.0869399
4 0.25828
870 4
1 0.0849531
2 0.0856849
3 0.0886806
4 0.259319
880 4
1 0.0828352
2 0.0841391
3 0.0928842
4 0.259858
890 4
1 0.0821794
2 0.0823729
3 0.0953142
4 0.259866
900 4
1 0.0830001
2 0.0807153
3 0.0944762
4 0.258192
910 4
1 0.08594
2 0.0794392
3 0.0936187
4 0.258998
920 4
1 0.0893863
2 0.0780684
3 0.0937442
4 0.261199
930 4
1 0.0907769
2 0.075039
3 0.0942616
4 0.260078
940 4
1 0.0912676
2 0.0719148
3 0.0938194
4 0.257002
950 4
1 0.0929356
2 0.069411
3 0.0929633
4 0.25531
960 4
1 0.0948806
2 0.0689947
3 0.0934138
4 0.257289
970 4
1 0.0949041
2 0.0720806
3 0.0934124
4 0.260397
980 4
1 0.0937835
2 0.0756755
3 0.0914773
4 0.260936
990 4
1 0.0938494
2 0.0780468
3 0.0899876
4 0.261884
1000 4
1 0.094747
2 0.0798567
3 0.0891375
4 0.263741
1010 4
1 0.0939395
2 0.0806499
3 0.0889521
4 0.263541
1020 4
1 0.0914682
2 0.080072
3 0.0899157
4 0.261456
1030 4
1 0.0888028
2 0.0783551
3 0.0901826
4 0.25734
1040 4
1 0.0867385
2 0.0777729
3 0.0899365
4 0.254448
1050 4
1 0.0852704
2 0.0766359
3 0.0892808
4 0.251187
1060 4
1 0.083808
2 0.0751881
3 0.0905062
4 0.249502
1070 4
1 0.0829184
2 0.07584
3 0.093007
4 0.251765
1080 4
1 0.0838983
2 0.0784445
3 0.0936502
4 0.255993
1090 4
1 0.0835165
2 0.0816594
3 0.0933809
4 0.258557
1100 4
1 0.0800846
2 0.0843003
3 0.0918397
4 0.256225
1110 4
1 0.0766384
2 0.0848395
3 0.0916221
4 0.2531
1120 4
1 0.0757652
2 0.084634
3 0.0924035
4 0.252803
1130 4
1 0.0763755
2 0.0848519
3 0.0939862
4 0.255214
1140 4
1 0.0770293
2 0.0852497
3 0.0951357
4 0.257415
1150 4
1 0.0775122
2 0.0848058
3 0.0960969
4 0.258415
1160 4
1 0.0784662
2 0.0834865
3 0.097429
4 0.259382
1170 4
1 0.0797686
2 0.0838777
3 0.099331
4 0.262977
1180 4
1 0.0808312
2 0.0858423
3 0.101288
4 0.267961
1190 4
1 0.0836697
2 0.0871944
3 0.102479
4 0.273343
1200 4
1 0.088795
2 0.0874167
3 0.103052
4 0.279264
1210 4
1 0.0931676
2 0.0884445
3 0.106147
4 0.287759
1220 4
1 0.0948925
2 0.0910282
3 0.110448
4 0.296368
1230 4
1 0.0951228
2 0.0933964
3 0.113391
4 0.30191
1240 4
1 0.0944536
2 0.09424
3 0.113381
4 0.302074
1250 4
1 0.0935862
2 0.094298
3 0.112232
4 0.300116
1260 4
1 0.0925423
2 0.0941999
3 0.11148
4 0.298222
1270 4
1 0.0919322
2 0.093556
3 0.111656
4 0.297144
1280 4
1 0.0918403
2 0.0933127
3 0.112176
4 0.297329
1290 4
1 0.0927714
2 0.0945305
3 0.113478
4 0.30078
1300 4
1 0.0947818
2 0.0975852
3 0.116431
4 0.308798
1310 4
1 0.0963049
2 0.100629
3 0.117956
4 0.31489
1320 4
1 0.0947195
2 0.101443
3 0.119399
4 0.315562
1330 4
1 0.0913718
2 0.101597
3 0.122747
4 0.315716
1340 4
1 0.0902053
2 0.10182
3 0.124959
4 0.316984
1350 4
1 0.0917151
2 0.10145
3 0.123945
4 0.31711
1360 4
1 0.0941695
2 0.100759
3 0.122416
4 0.317344
1370 4
1 0.0961328
2 0.100501
3 0.121251
4 0.317885
1380 4
1 0.0965134
2 0.100534
3 0.120266
4 0.317314
1390 4
1 0.0962139
2 0.100523
3 0.11983
4 0.316566
1400 4
1 0.0938315
2 0.0996308
3 0.119466
4 0.312928
1410 4
1 0.0904967
2 0.0973608
3 0.119787
4 0.307644
1420 4
1 0.0882551
2 0.0949704
3 0.122178
4 0.305404
1430 4
1 0.0868866
2 0.0934664
3 0.123023
4 0.303376
1440 4
1 0.0871346
2 0.0918241
3 0.121451
4 0.30041
1450 4
1 0.0889767
2 0.0884621
3 0.11958
4 0.297019
1460 4
1 0.0901211
2 0.086858
3 0.117004
4 0.293983
1470 4
1 0.0894552
2 0.0887167
3 0.113635
4 0.291807
1480 4
1 0.0887451
2 0.0905451
3 0.109921
4 0.289211
1490 4
1 0.0900868
2 0.0897483
3 0.107155
4 0.28699
1500 4
1 0.091734
2 0.086792
3 0.104444
4 0.28297
1510 4
1 0.0917613
2 0.0849821
3 0.101484
4 0.278228
1520 4
1 0.0896423
2 0.0844769
3 0.0990722
4 0.273191
1530 4
1 0.087647
2 0.0852638
3 0.09753
4 0.270441
1540 4
1 0.0870359
2 0.0853383
3 0.0959795
4 0.268354
1550 4
1 0.0871192
2 0.0843949
3 0.0934811
4 0.264995
1560 4
1 0.0883585
2 0.0836001
3 0.0919498
4 0.263908
1570 4
1 0.0906252
2 0.0822479
3 0.0919473
4 0.26482
1580 4
1 0.0928992
2 0.0800496
3 0.0917294
4 0.264678
1590 4
1 0.0927032
2 0.0786797
3 0.0927929
4 0.264176
1600 4
1 0.0911791
2 0.0777435
3 0.0949317
4 0.263854
1610 4
1 0.0900175
2 0.0776929
3 0.095692
4 0.263402
1620 4
1 0.0886985
2 0.0803662
3 0.0975392
4 0.266604
1630 4
1 0.0877553
2 0.0818247
3 0.0985297
4 0.26811
1640 4
1 0.0874251
2 0.0816715
3 0.0991657
4 0.268262
1650 4
1 0.0887017
2 0.0795688
3 0.0999384
4 0.268209
1660 4
1 0.0898935
2 0.0776418
3 0.100501
4 0.268036
1670 4
1 0.0888015
2 0.0779495
3 0.100394
4 0.267145
1680 4
1 0.085596
2 0.0787454
3 0.0987979
4 0.263139
1690 4
1 0.0845933
2 0.0787276
3 0.096762
4 0.260083
1700 4
1 0.0853646
2 0.077518
3 0.0956149
4 0.258498
1710 4
1 0.0873076
2 0.0783957
3 0.0942012
4 0.259905
1720 4
1 0.0881031
2 0.0791123
3 0.0925464
4 0.259762
1730 4
1 0.086514
2 0.0777559
3 0.092175
4 0.256445
1740 4
1 0.0854867
2 0.0767886
3 0.09277
4 0.255045
1750 4
1 0.0852398
2 0.0763684
3 0.09398
4 0.255588
1760 4
1 0.0837387
2 0.0753969
3 0.0955147
4 0.25465
1770 4
1 0.082066
2 0.0739044
3 0.0973669
4 0.253337
1780 4
1 0.0810997
2 0.073833
3 0.0987502
4 0.253683
1790 4
1 0.0806536
2 0.0763014
3 0.0999401
4 0.256895
1800 4
1 0.0798826
2 0.078209
3 0.101301
4 0.259393
1810 4
1 0.0791864
2 0.0788114
3 0.101208
4 0.259206
1820 4
1 0.0786871
2 0.078886
3 0.0984835
4 0.256057
1830 4
1 0.0785256
2 0.0775806
3 0.0959342
4 0.25204
1840 4
1 0.0788717
2 0.0755973
3 0.0939435
4 0.248412
1850 4
1 0.0794675
2 0.0757102
3 0.0913007
4 0.246478
1860 4
1 0.0795066
2 0.0773612
3 0.0883066
4 0.245174
1870 4
1 0.0788114
2 0.0787027
3 0.0897757
4 0.24729
1880 4
1 0.078388
2 0.0789274
3 0.0944231
4 0.251738
1890 4
1 0.0789416
2 0.0781201
3 0.0987194
4 0.255781
1900 4
1 0.0808499
2 0.0782124
3 0.103494
4 0.262556
1910 4
1 0.0838208
2 0.0802984
3 0.107709
4 0.271828
1920 4
1 0.0856187
2 0.0830075
3 0.110143
4 0.278769
1930 4
1 0.0861836
2 0.0855227
