# Time-averaged data for fix msdwrite
# TimeStep Number-of-rows
# Row c_msd
10 4
1 0.00445722
2 0.00471649
3 0.00467919
4 0.0138529
20 4
1 0.031979
2 0.0335481
3 0.0340941
4 0.0996212
30 4
1 0.0711488
2 0.0730212
3 0.0772325
4 0.221402
40 4
1 0.102789
2 0.10696
3 0.11145
4 0.321198
50 4
1 0.121357
2 0.132385
3 0.132734
4 0.386476
60 4
1 0.129252
2 0.146445
3 0.146222
4 0.421918
70 4
1 0.136837
2 0.154505
3 0.1568
4 0.448142
80 4
1 0.147855
2 0.163612
3 0.164545
4 0.476011
90 4
1 0.161675
2 0.172836
3 0.170918
4 0.50543
100 4
1 0.174013
2 0.179884
3 0.181134
4 0.535031
110 4
1 0.185732
2 0.18919
3 0.195109
4 0.570031
120 4
1 0.198298
2 0.199409
3 0.208661
4 0.606368
130 4
1 0.210117
2 0.20285
3 0.219921
4 0.632889
140 4
1 0.21986
2 0.199353
3 0.229515
4 0.648727
150 4
1 0.226989
2 0.19731
3 0.235007
4 0.659306
160 4
1 0.232296
2 0.197815
3 0.233547
4 0.663657
170 4
1 0.238096
2 0.199759
3 0.231971
4 0.669825
180 4
1 0.244024
2 0.201766
3 0.234296
4 0.680085
190 4
1 0.249667
2 0.20306
3 0.238627
4 0.691355
200 4
1 0.256311
2 0.205905
3 0.241329
4 0.703544
210 4
1 0.262226
2 0.208881
3 0.241702
4 0.712809
220 4
1 0.265599
2 0.210522
3 0.246027
4 0.722148
230 4
1 0.266135
2 0.213594
3 0.258549
4 0.738277
240 4
1 0.265258
2 0.220058
3 0.267403
4 0.752718
250 4
1 0.264672
2 0.225596
3 0.265893
4 0.756161
260 4
1 0.264538
2 0.228224
3 0.262678
4 0.755439
270 4
1 0.266668
2 0.229805
3 0.264026
4 0.760498
280 4
1 0.273217
2 0.232517
3 0.266858
4 0.772592
290 4
1 0.283589
2 0.236284
3 0.273407
4 0.793279
300 4
1 0.295185
2 0.240891
3 0.282078
4 0.818155
310 4
1 0.305683
2 0.248709
3 0.290384
4 0.844776
320 4
1 0.313265
2 0.257638
3 0.297634
4 0.868536
330 4
1 0.317893
2 0.264238
3 0.30373
4 0.88586
340 4
1 0.321044
2 0.266471
3 0.308121
4 0.895636
350 4
1 0.324503
2 0.262948
3 0.311396
4 0.898847
360 4
1 0.328417
2 0.262361
3 0.313701
4 0.904479
370 4
1 0.330276
2 0.269277
3 0.316989
4 0.916543
380 4
1 0.329022
2 0.274419
3 0.322225
4 0.925666
390 4
1 0.325487
2 0.277732
3 0.326335
4 0.929553
400 4
1 0.324297
2 0.279137
3 0.326045
4 0.929479
410 4
1 0.326179
2 0.277951
3 0.322347
4 0.926478
420 4
1 0.331061
2 0.276739
3 0.317448
4 0.925249
430 4
1 0.337269
2 0.280452
3 0.314175
4 0.931896
440 4
1 0.346246
2 0.289424
3 0.31394
4 0.94961
450 4
1 0.356344
2 0.300745
3 0.317803
4 0.974891
460 4
1 0.365327
2 0.310043
3 0.32535
4 1.00072
470 4
1 0.37269
2 0.312242
3 0.333386
4 1.01832
480 4
1 0.378301
2 0.309122
3 0.340949
4 1.02837
490 4
1 0.381183
2 0.306198
3 0.350617
4 1.038
500 4
1 0.38056
2 0.305489
3 0.360525
4 1.04657
510 4
1 0.37828
2 0.305201
3 0.369645
4 1.05313
520 4
1 0.378097
2 0.306414
3 0.375249
